track_id,frame_id,timestamp_ms,agent_type,x,y,vx,vy
P4,2252,225200,pedestrian/bicycle,1013.099,985.986,3.391,5.838
P4,2253,225300,pedestrian/bicycle,1013.44,986.567,3.419,5.768
P4,2254,225400,pedestrian/bicycle,1013.783,987.14,3.446,5.698
P4,2255,225500,pedestrian/bicycle,1014.128,987.706,3.46,5.632
P4,2256,225600,pedestrian/bicycle,1014.474,988.267,3.455,5.572
P4,2257,225700,pedestrian/bicycle,1014.818,988.822,3.427,5.532
P4,2258,225800,pedestrian/bicycle,1015.158,989.374,3.375,5.523
P4,2259,225900,pedestrian/bicycle,1015.492,989.928,3.306,5.546
P4,2260,226000,pedestrian/bicycle,1015.819,990.485,3.234,5.603
P4,2261,226100,pedestrian/bicycle,1016.139,991.05,3.165,5.695
P4,2262,226200,pedestrian/bicycle,1016.452,991.626,3.094,5.817
P4,2263,226300,pedestrian/bicycle,1016.758,992.214,3.013,5.956
P4,2264,226400,pedestrian/bicycle,1017.054,992.817,2.911,6.1
P4,2265,226500,pedestrian/bicycle,1017.338,993.434,2.779,6.239
P4,2266,226600,pedestrian/bicycle,1017.609,994.064,2.623,6.353
P4,2267,226700,pedestrian/bicycle,1017.863,994.704,2.458,6.45
P4,2268,226800,pedestrian/bicycle,1018.101,995.353,2.308,6.541
P4,2269,226900,pedestrian/bicycle,1018.325,996.01,2.175,6.598
P4,2270,227000,pedestrian/bicycle,1018.536,996.67,2.047,6.601
P4,2271,227100,pedestrian/bicycle,1018.734,997.329,1.908,6.567
P4,2272,227200,pedestrian/bicycle,1018.917,997.983,1.746,6.526
P4,2273,227300,pedestrian/bicycle,1019.082,998.635,1.564,6.495
P4,2274,227400,pedestrian/bicycle,1019.229,999.283,1.373,6.47
P4,2275,227500,pedestrian/bicycle,1019.356,999.929,1.175,6.451
P4,2276,227600,pedestrian/bicycle,1019.464,1000.573,0.975,6.44
P4,2277,227700,pedestrian/bicycle,1019.552,1001.217,0.782,6.436
P4,2278,227800,pedestrian/bicycle,1019.62,1001.861,0.592,6.44
P4,2279,227900,pedestrian/bicycle,1019.67,1002.505,0.401,6.447
P4,2280,228000,pedestrian/bicycle,1019.701,1003.149,0.212,6.431
P4,2281,228100,pedestrian/bicycle,1019.713,1003.79,0.03,6.376
P4,2282,228200,pedestrian/bicycle,1019.708,1004.423,-0.127,6.283
P4,2283,228300,pedestrian/bicycle,1019.69,1005.044,-0.232,6.137
P4,2284,228400,pedestrian/bicycle,1019.664,1005.647,-0.291,5.937
P4,2285,228500,pedestrian/bicycle,1019.633,1006.23,-0.323,5.715
P4,2286,228600,pedestrian/bicycle,1019.6,1006.792,-0.337,5.527
P4,2287,228700,pedestrian/bicycle,1019.566,1007.339,-0.342,5.417
P4,2288,228800,pedestrian/bicycle,1019.532,1007.879,-0.343,5.384
P1,28,2800,pedestrian/bicycle,979.289,1006.819,1.229,1.251
P1,29,2900,pedestrian/bicycle,979.411,1006.95,1.211,1.353
P1,30,3000,pedestrian/bicycle,979.531,1007.091,1.198,1.467
P1,31,3100,pedestrian/bicycle,979.65,1007.244,1.183,1.592
P1,32,3200,pedestrian/bicycle,979.768,1007.409,1.163,1.725
P1,33,3300,pedestrian/bicycle,979.883,1007.589,1.144,1.867
P1,34,3400,pedestrian/bicycle,979.996,1007.782,1.12,2.002
P1,35,3500,pedestrian/bicycle,980.107,1007.989,1.095,2.123
P1,36,3600,pedestrian/bicycle,980.216,1008.206,1.083,2.224
P1,37,3700,pedestrian/bicycle,980.325,1008.431,1.089,2.284
P1,38,3800,pedestrian/bicycle,980.434,1008.661,1.11,2.301
P1,39,3900,pedestrian/bicycle,980.547,1008.891,1.135,2.294
P1,40,4000,pedestrian/bicycle,980.661,1009.118,1.143,2.261
P1,41,4100,pedestrian/bicycle,980.774,1009.342,1.13,2.214
P1,42,4200,pedestrian/bicycle,980.886,1009.562,1.102,2.177
P1,43,4300,pedestrian/bicycle,980.994,1009.778,1.06,2.153
P1,44,4400,pedestrian/bicycle,981.097,1009.993,1.009,2.147
P1,45,4500,pedestrian/bicycle,981.196,1010.209,0.964,2.161
P1,46,4600,pedestrian/bicycle,981.291,1010.425,0.931,2.178
P1,47,4700,pedestrian/bicycle,981.383,1010.644,0.92,2.195
P1,48,4800,pedestrian/bicycle,981.476,1010.865,0.946,2.222
P1,49,4900,pedestrian/bicycle,981.574,1011.089,1.014,2.25
P1,50,5000,pedestrian/bicycle,981.681,1011.315,1.119,2.275
P1,51,5100,pedestrian/bicycle,981.799,1011.544,1.244,2.297
P1,52,5200,pedestrian/bicycle,981.93,1011.773,1.363,2.299
P1,53,5300,pedestrian/bicycle,982.071,1012.002,1.461,2.278
P1,54,5400,pedestrian/bicycle,982.221,1012.228,1.536,2.245
P1,55,5500,pedestrian/bicycle,982.376,1012.45,1.573,2.196
P1,56,5600,pedestrian/bicycle,982.533,1012.667,1.568,2.137
P1,57,5700,pedestrian/bicycle,982.688,1012.879,1.531,2.093
P1,58,5800,pedestrian/bicycle,982.837,1013.087,1.458,2.069
P1,59,5900,pedestrian/bicycle,982.978,1013.294,1.354,2.071
P1,60,6000,pedestrian/bicycle,983.107,1013.502,1.231,2.104
P1,61,6100,pedestrian/bicycle,983.223,1013.716,1.09,2.159
P1,62,6200,pedestrian/bicycle,983.325,1013.935,0.94,2.235
P1,63,6300,pedestrian/bicycle,983.412,1014.164,0.796,2.342
P1,64,6400,pedestrian/bicycle,983.485,1014.405,0.664,2.472
P1,65,6500,pedestrian/bicycle,983.545,1014.659,0.552,2.606
P1,66,6600,pedestrian/bicycle,983.596,1014.925,0.46,2.711
P1,67,6700,pedestrian/bicycle,983.638,1015.197,0.387,2.734
P1,68,6800,pedestrian/bicycle,983.674,1015.467,0.329,2.673
P1,69,6900,pedestrian/bicycle,983.705,1015.73,0.277,2.579
P1,70,7000,pedestrian/bicycle,983.729,1015.983,0.221,2.481
P1,71,7100,pedestrian/bicycle,983.748,1016.227,0.159,2.393
P1,72,7200,pedestrian/bicycle,983.761,1016.462,0.102,2.323
P1,73,7300,pedestrian/bicycle,983.77,1016.691,0.061,2.254
P1,74,7400,pedestrian/bicycle,983.775,1016.914,0.038,2.191
P1,75,7500,pedestrian/bicycle,983.778,1017.131,0.027,2.152
P1,76,7600,pedestrian/bicycle,983.78,1017.345,0.025,2.14
P2,217,21700,pedestrian/bicycle,973.931,1006.081,1.987,1.107
P2,218,21800,pedestrian/bicycle,974.122,1006.191,1.827,1.103
P2,219,21900,pedestrian/bicycle,974.297,1006.301,1.672,1.099
P2,220,22000,pedestrian/bicycle,974.456,1006.41,1.511,1.082
P2,221,22100,pedestrian/bicycle,974.599,1006.517,1.345,1.048
P2,222,22200,pedestrian/bicycle,974.725,1006.619,1.19,0.996
P2,223,22300,pedestrian/bicycle,974.838,1006.715,1.052,0.915
P2,224,22400,pedestrian/bicycle,974.937,1006.801,0.934,0.811
P2,225,22500,pedestrian/bicycle,975.026,1006.877,0.841,0.703
P2,226,22600,pedestrian/bicycle,975.106,1006.942,0.767,0.607
P2,227,22700,pedestrian/bicycle,975.18,1006.999,0.705,0.528
P2,228,22800,pedestrian/bicycle,975.247,1007.049,0.641,0.468
P2,229,22900,pedestrian/bicycle,975.307,1007.093,0.559,0.424
P2,230,23000,pedestrian/bicycle,975.358,1007.134,0.46,0.393
P2,231,23100,pedestrian/bicycle,975.399,1007.173,0.37,0.376
P2,232,23200,pedestrian/bicycle,975.433,1007.21,0.308,0.368
P2,233,23300,pedestrian/bicycle,975.463,1007.247,0.283,0.371
P2,234,23400,pedestrian/bicycle,975.492,1007.285,0.295,0.388
P2,235,23500,pedestrian/bicycle,975.523,1007.325,0.338,0.422
P2,236,23600,pedestrian/bicycle,975.561,1007.37,0.407,0.471
P2,237,23700,pedestrian/bicycle,975.606,1007.42,0.492,0.529
P2,238,23800,pedestrian/bicycle,975.659,1007.476,0.581,0.588
P2,239,23900,pedestrian/bicycle,975.722,1007.537,0.667,0.644
P2,240,24000,pedestrian/bicycle,975.792,1007.604,0.751,0.698
P2,241,24100,pedestrian/bicycle,975.871,1007.677,0.826,0.748
P2,242,24200,pedestrian/bicycle,975.957,1007.754,0.893,0.792
P2,243,24300,pedestrian/bicycle,976.05,1007.835,0.953,0.836
P2,244,24400,pedestrian/bicycle,976.147,1007.921,1.003,0.876
