track_id,frame_id,timestamp_ms,agent_type,x,y,vx,vy
P2,38,3800,pedestrian/bicycle,987.882,980.623,0.315,-0.066
P2,39,3900,pedestrian/bicycle,987.911,980.615,0.26,-0.092
P2,40,4000,pedestrian/bicycle,987.934,980.605,0.207,-0.116
P2,41,4100,pedestrian/bicycle,987.953,980.592,0.157,-0.139
P2,42,4200,pedestrian/bicycle,987.966,980.577,0.114,-0.158
P2,43,4300,pedestrian/bicycle,987.976,980.561,0.081,-0.17
P2,44,4400,pedestrian/bicycle,987.983,980.544,0.058,-0.173
P2,45,4500,pedestrian/bicycle,987.988,980.527,0.044,-0.165
P2,46,4600,pedestrian/bicycle,987.992,980.511,0.037,-0.148
P2,47,4700,pedestrian/bicycle,987.996,980.498,0.035,-0.126
P2,48,4800,pedestrian/bicycle,987.999,980.486,0.037,-0.103
P2,49,4900,pedestrian/bicycle,988.003,980.477,0.042,-0.085
P2,50,5000,pedestrian/bicycle,988.008,980.469,0.046,-0.075
P2,51,5100,pedestrian/bicycle,988.012,980.461,0.047,-0.072
P2,52,5200,pedestrian/bicycle,988.017,980.454,0.043,-0.075
P2,53,5300,pedestrian/bicycle,988.021,980.446,0.033,-0.083
P2,54,5400,pedestrian/bicycle,988.023,980.437,0.019,-0.094
P2,55,5500,pedestrian/bicycle,988.024,980.427,0,-0.105
P2,56,5600,pedestrian/bicycle,988.023,980.416,-0.025,-0.116
P2,57,5700,pedestrian/bicycle,988.019,980.404,-0.055,-0.126
P2,58,5800,pedestrian/bicycle,988.012,980.391,-0.092,-0.135
P2,59,5900,pedestrian/bicycle,988,980.377,-0.135,-0.142
P2,60,6000,pedestrian/bicycle,987.984,980.363,-0.183,-0.144
P2,61,6100,pedestrian/bicycle,987.963,980.349,-0.237,-0.138
P2,62,6200,pedestrian/bicycle,987.936,980.336,-0.298,-0.119
P2,63,6300,pedestrian/bicycle,987.903,980.326,-0.367,-0.087
P2,64,6400,pedestrian/bicycle,987.863,980.319,-0.44,-0.048
P2,65,6500,pedestrian/bicycle,987.815,980.316,-0.51,-0.007
P2,66,6600,pedestrian/bicycle,987.761,980.317,-0.571,0.031
P2,67,6700,pedestrian/bicycle,987.701,980.322,-0.628,0.063
P2,68,6800,pedestrian/bicycle,987.636,980.33,-0.686,0.088
P2,69,6900,pedestrian/bicycle,987.564,980.339,-0.748,0.105
P2,70,7000,pedestrian/bicycle,987.486,980.35,-0.814,0.114
P2,71,7100,pedestrian/bicycle,987.401,980.362,-0.884,0.114
P2,72,7200,pedestrian/bicycle,987.309,980.373,-0.956,0.109
P2,73,7300,pedestrian/bicycle,987.21,980.383,-1.033,0.1
P2,74,7400,pedestrian/bicycle,987.102,980.393,-1.119,0.089
P2,75,7500,pedestrian/bicycle,986.985,980.401,-1.217,0.079
P2,76,7600,pedestrian/bicycle,986.858,980.409,-1.331,0.069
P2,77,7700,pedestrian/bicycle,986.718,980.415,-1.457,0.062
P2,78,7800,pedestrian/bicycle,986.566,980.421,-1.583,0.057
P2,79,7900,pedestrian/bicycle,986.403,980.427,-1.691,0.054
P2,80,8000,pedestrian/bicycle,986.23,980.432,-1.768,0.055
P2,81,8100,pedestrian/bicycle,986.051,980.438,-1.813,0.059
P2,82,8200,pedestrian/bicycle,985.868,980.444,-1.833,0.063
P2,83,8300,pedestrian/bicycle,985.685,980.45,-1.835,0.069
P2,84,8400,pedestrian/bicycle,985.502,980.458,-1.825,0.076
P2,85,8500,pedestrian/bicycle,985.32,980.466,-1.807,0.085
P2,86,8600,pedestrian/bicycle,985.141,980.475,-1.787,0.093
P2,87,8700,pedestrian/bicycle,984.963,980.484,-1.767,0.099
P2,88,8800,pedestrian/bicycle,984.787,980.494,-1.747,0.103
P2,89,8900,pedestrian/bicycle,984.614,980.505,-1.723,0.103
P2,90,9000,pedestrian/bicycle,984.443,980.515,-1.69,0.098
P2,91,9100,pedestrian/bicycle,984.276,980.524,-1.65,0.089
P2,92,9200,pedestrian/bicycle,984.113,980.532,-1.608,0.078
P2,93,9300,pedestrian/bicycle,983.954,980.539,-1.565,0.065
P2,94,9400,pedestrian/bicycle,983.8,980.545,-1.523,0.053
P2,95,9500,pedestrian/bicycle,983.649,980.55,-1.488,0.042
P2,96,9600,pedestrian/bicycle,983.502,980.554,-1.465,0.03
P2,97,9700,pedestrian/bicycle,983.356,980.556,-1.448,0.018
P2,98,9800,pedestrian/bicycle,983.212,980.557,-1.43,0.005
P2,99,9900,pedestrian/bicycle,983.07,980.557,-1.411,-0.008
P2,100,10000,pedestrian/bicycle,982.93,980.556,-1.393,-0.019
P2,101,10100,pedestrian/bicycle,982.792,980.554,-1.374,-0.026
P2,102,10200,pedestrian/bicycle,982.655,980.551,-1.352,-0.029
P2,103,10300,pedestrian/bicycle,982.521,980.548,-1.327,-0.029
P2,104,10400,pedestrian/bicycle,982.39,980.545,-1.303,-0.028
P2,105,10500,pedestrian/bicycle,982.261,980.542,-1.282,-0.029
P2,106,10600,pedestrian/bicycle,982.133,980.539,-1.261,-0.031
P2,107,10700,pedestrian/bicycle,982.009,980.536,-1.236,-0.036
P2,108,10800,pedestrian/bicycle,981.886,980.532,-1.205,-0.04
P2,109,10900,pedestrian/bicycle,981.768,980.528,-1.17,-0.043
P2,110,11000,pedestrian/bicycle,981.653,980.524,-1.131,-0.043
P2,111,11100,pedestrian/bicycle,981.542,980.519,-1.082,-0.041
P2,112,11200,pedestrian/bicycle,981.437,980.516,-1.025,-0.037
P2,113,11300,pedestrian/bicycle,981.337,980.512,-0.968,-0.032
P2,114,11400,pedestrian/bicycle,981.243,980.509,-0.918,-0.028
P2,115,11500,pedestrian/bicycle,981.153,980.506,-0.88,-0.026
P2,116,11600,pedestrian/bicycle,981.066,980.504,-0.859,-0.025
P2,117,11700,pedestrian/bicycle,980.98,980.502,-0.853,-0.024
P5,111,11100,pedestrian/bicycle,985.119,992.822,0.353,-0.625
P5,112,11200,pedestrian/bicycle,985.153,992.759,0.343,-0.624
P5,113,11300,pedestrian/bicycle,985.187,992.697,0.334,-0.618
P5,114,11400,pedestrian/bicycle,985.22,992.636,0.324,-0.602
P5,115,11500,pedestrian/bicycle,985.252,992.577,0.312,-0.575
P5,116,11600,pedestrian/bicycle,985.282,992.522,0.296,-0.536
P5,117,11700,pedestrian/bicycle,985.311,992.471,0.275,-0.488
P5,118,11800,pedestrian/bicycle,985.337,992.424,0.248,-0.437
P5,119,11900,pedestrian/bicycle,985.36,992.383,0.213,-0.387
P5,120,12000,pedestrian/bicycle,985.379,992.347,0.167,-0.339
P5,121,12100,pedestrian/bicycle,985.393,992.315,0.117,-0.293
P5,122,12200,pedestrian/bicycle,985.403,992.288,0.071,-0.248
P5,123,12300,pedestrian/bicycle,985.408,992.266,0.035,-0.202
P5,124,12400,pedestrian/bicycle,985.41,992.248,0.01,-0.158
P5,125,12500,pedestrian/bicycle,985.41,992.234,-0.007,-0.118
P5,126,12600,pedestrian/bicycle,985.409,992.224,-0.017,-0.082
P5,127,12700,pedestrian/bicycle,985.407,992.217,-0.023,-0.05
P5,128,12800,pedestrian/bicycle,985.405,992.214,-0.028,-0.022
P5,129,12900,pedestrian/bicycle,985.402,992.213,-0.026,0.002
P5,130,13000,pedestrian/bicycle,985.4,992.214,-0.013,0.025
P5,131,13100,pedestrian/bicycle,985.4,992.218,0.009,0.046
P5,132,13200,pedestrian/bicycle,985.402,992.223,0.032,0.068
P5,133,13300,pedestrian/bicycle,985.406,992.231,0.051,0.091
P5,134,13400,pedestrian/bicycle,985.411,992.242,0.058,0.118
P5,135,13500,pedestrian/bicycle,985.417,992.255,0.048,0.151
P5,136,13600,pedestrian/bicycle,985.42,992.272,0.023,0.191
P5,137,13700,pedestrian/bicycle,985.421,992.294,-0.012,0.239
P5,138,13800,pedestrian/bicycle,985.418,992.321,-0.049,0.295
P5,139,13900,pedestrian/bicycle,985.411,992.353,-0.082,0.358
P5,140,14000,pedestrian/bicycle,985.402,992.392,-0.11,0.423
P5,141,14100,pedestrian/bicycle,985.39,992.438,-0.133,0.483
P5,142,14200,pedestrian/bicycle,985.375,992.488,-0.149,0.533
P5,143,14300,pedestrian/bicycle,985.36,992.543,-0.158,0.571
P5,144,14400,pedestrian/bicycle,985.344,992.602,-0.16,0.594
P5,145,14500,pedestrian/bicycle,985.328,992.661,-0.158,0.601
P5,146,14600,pedestrian/bicycle,985.313,992.721,-0.154,0.596
P5,147,14700,pedestrian/bicycle,985.298,992.78,-0.149,0.587
P5,148,14800,pedestrian/bicycle,985.283,992.839,-0.147,0.58
P5,149,14900,pedestrian/bicycle,985.268,992.897,-0.146,0.578
P1,1,100,pedestrian/bicycle,987.873,991.766,-1.163,-2.075
P1,2,200,pedestrian/bicycle,987.756,991.561,-1.184,-2.028
P1,3,300,pedestrian/bicycle,987.637,991.36,-1.204,-1.986
