track_id,frame_id,timestamp_ms,agent_type,x,y,vx,vy
P1,1541,154100,pedestrian/bicycle,979.632,979.611,-1.32,2.157
P1,1542,154200,pedestrian/bicycle,979.496,979.829,-1.389,2.198
P1,1543,154300,pedestrian/bicycle,979.354,980.051,-1.462,2.23
P1,1544,154400,pedestrian/bicycle,979.204,980.274,-1.536,2.249
P1,1545,154500,pedestrian/bicycle,979.046,980.5,-1.612,2.257
P1,1546,154600,pedestrian/bicycle,978.881,980.725,-1.689,2.253
P1,1547,154700,pedestrian/bicycle,978.708,980.95,-1.767,2.243
P1,1548,154800,pedestrian/bicycle,978.528,981.174,-1.848,2.229
P1,1549,154900,pedestrian/bicycle,978.339,981.396,-1.93,2.21
P1,1550,155000,pedestrian/bicycle,978.142,981.615,-2.011,2.182
P1,1551,155100,pedestrian/bicycle,977.937,981.832,-2.086,2.15
P1,1552,155200,pedestrian/bicycle,977.725,982.045,-2.151,2.113
P1,1553,155300,pedestrian/bicycle,977.507,982.254,-2.205,2.074
P1,1554,155400,pedestrian/bicycle,977.285,982.46,-2.248,2.033
P1,1555,155500,pedestrian/bicycle,977.058,982.661,-2.279,1.989
P1,1556,155600,pedestrian/bicycle,976.83,982.857,-2.298,1.94
P1,1557,155700,pedestrian/bicycle,976.599,983.048,-2.308,1.885
P1,1558,155800,pedestrian/bicycle,976.368,983.234,-2.31,1.825
P1,1559,155900,pedestrian/bicycle,976.137,983.413,-2.308,1.761
P1,1560,156000,pedestrian/bicycle,975.907,983.586,-2.31,1.696
P1,1561,156100,pedestrian/bicycle,975.675,983.752,-2.319,1.631
P1,1562,156200,pedestrian/bicycle,975.442,983.912,-2.336,1.568
P1,1563,156300,pedestrian/bicycle,975.207,984.066,-2.362,1.509
P1,1564,156400,pedestrian/bicycle,974.97,984.214,-2.394,1.449
P1,1565,156500,pedestrian/bicycle,974.729,984.356,-2.428,1.386
P1,1566,156600,pedestrian/bicycle,974.484,984.491,-2.465,1.321
P1,1567,156700,pedestrian/bicycle,974.235,984.62,-2.504,1.255
P1,1568,156800,pedestrian/bicycle,973.983,984.742,-2.543,1.19
P1,1569,156900,pedestrian/bicycle,973.727,984.858,-2.576,1.127
